NAME,measurement,TIMESTAMP,start,end,TOTAL
SN2,name,time,first,last,Total
SN2,plcData,2025-06-01T00:00:00.000000001+02:00,64579.3,71075.1,6495.800000000003
PTRC,name,time,first,last,Total
PTRC,plcData,2025-06-01T00:00:00.000000001+02:00,118594,126168.6,7574.600000000006
STRN,mesg:
STRN,ttyname
STRN,failed:
STRN,Inappropriate
STRN,ioctl
STRN,for
STRN,device
STRN,Error:
STRN,No
STRN,such
STRN,container:
STRN,plc-datalog-influxDB-1
SN3,mesg:
SN3,ttyname
SN3,failed:
SN3,Inappropriate
SN3,ioctl
SN3,for
SN3,device
SN3,name,time,first,last,Total
SN3,plcData,2025-06-01T00:00:00.000000001+02:00,84538.7,90568.3,6029.600000000006
SN4,name,time,first,last,Total
SN4,plcData,2025-06-01T00:00:00.000000001+02:00,921915.8,921915.8,0
ZINGAD,name,time,first,last,Total
ZINGAD,plcData,2025-06-01T00:00:00.000000001+02:00,147910.2,154868.5,6958.299999999988
BOVINO,name,time,first,last,Total
BOVINO,plcData,2025-06-01T00:00:00.000000001+02:00,140007.5,146696.7,6689.200000000012
MINICHILLO,mesg:
MINICHILLO,ttyname
MINICHILLO,failed:
MINICHILLO,Inappropriate
MINICHILLO,ioctl
MINICHILLO,for
MINICHILLO,device
MINICHILLO,name,time,first,last,Total
MINICHILLO,plcData,2025-06-01T00:00:00.000000001+02:00,411815.1,421118,9302.900000000023
ZINGAG,name,time,first,last,Total
ZINGAG,plcData,2025-06-01T00:00:00.000000001+02:00,155614.6,162308.8,6694.1999999999825
ALDO2,name,time,first,last,Total
ALDO2,plcData,2025-06-01T00:00:00.000000001+02:00,838194.4,841481.2,3286.79999999993
RITOLI,mesg:
RITOLI,ttyname
RITOLI,failed:
RITOLI,Inappropriate
RITOLI,ioctl
RITOLI,for
RITOLI,device
RITOLI,Error:
RITOLI,No
RITOLI,such
RITOLI,container:
RITOLI,plc-datalog-influxDB-1
ALDO3,name,time,first,last,Total
ALDO3,plcData,2025-06-01T00:00:00.000000001+02:00,843598.1,847272.8,3674.70000000007
BICCARI,name,time,first,last,Total
BICCARI,plcData,2025-06-01T00:00:00.000000001+02:00,35250.6,40260.2,5009.5999999999985
FALCONE,name,time,first,last,Total
FALCONE,plcData,2025-06-01T00:00:00.000000001+02:00,82585.9,90603.9,8018
ETAPOWER,mesg:
ETAPOWER,ttyname
ETAPOWER,failed:
ETAPOWER,Inappropriate
ETAPOWER,ioctl
ETAPOWER,for
ETAPOWER,device
ETAPOWER,Error:
ETAPOWER,No
ETAPOWER,such
ETAPOWER,container:
ETAPOWER,plc-datalog-influxDB-1
VALENTE,name,time,first,last,Total
VALENTE,plcData,2025-06-01T00:00:00.000000001+02:00,900641.8,904881.2,4239.399999999907
FARES1,name,time,first,last,Total
FARES1,plcData,2025-06-01T00:00:00.000000001+02:00,725681.5,731547,5865.5
IAPOZZUTO,name,time,first,last,Total
IAPOZZUTO,plcData,2025-06-01T00:00:00.000000001+02:00,852662.5,857106.5,4444
FALCONE2,name,time,first,last,Total
FALCONE2,plcData,2025-06-01T00:00:00.000000001+02:00,915741.7,923827.4,8085.70000000007
SERRATRAVERSA,name,time,first,last,Total
SERRATRAVERSA,plcData,2025-06-01T00:00:00.000000001+02:00,831897.1,836646.1,4749
FANELLI,name,time,first,last,Total
