NAME,measurement,TIMESTAMP,start,end,TOTAL
SN2,cannot
SN2,exec
SN2,in
SN2,a
SN2,stopped
SN2,state:
SN2,unknown
SN2,126
PTRC,name,time,first,last,Total
PTRC,plcData,2025-07-01T00:00:00.000000001+02:00,126168.6,137142.5,10973.899999999994
PTRC,0
STRN,mesg:
STRN,ttyname
STRN,failed:
STRN,Inappropriate
STRN,ioctl
STRN,for
STRN,device
STRN,Error:
STRN,No
STRN,such
STRN,container:
STRN,plc-datalog-influxDB-1
STRN,1
SN3,mesg:
SN3,ttyname
SN3,failed:
SN3,Inappropriate
SN3,ioctl
SN3,for
SN3,device
SN3,name,time,first,last,Total
SN3,plcData,2025-07-01T00:00:00.000000001+02:00,90568.3,101890.2,11321.899999999994
SN3,0
ZINGAD,name,time,first,last,Total
ZINGAD,plcData,2025-07-01T00:00:00.000000001+02:00,154868.5,165943.6,11075.100000000006
ZINGAD,0
BOVINO,name,time,first,last,Total
BOVINO,plcData,2025-07-01T00:00:00.000000001+02:00,148903.6,159679.9,10776.299999999988
BOVINO,0
MINICHILLO,mesg:
MINICHILLO,ttyname
MINICHILLO,failed:
MINICHILLO,Inappropriate
MINICHILLO,ioctl
MINICHILLO,for
MINICHILLO,device
MINICHILLO,name,time,first,last,Total
MINICHILLO,plcData,2025-07-01T00:00:00.000000001+02:00,421118,432993.4,11875.400000000023
MINICHILLO,0
ZINGAG,name,time,first,last,Total
ZINGAG,plcData,2025-07-01T00:00:00.000000001+02:00,162308.8,172184.4,9875.600000000006
ZINGAG,0
ALDO2,name,time,first,last,Total
ALDO2,plcData,2025-07-01T00:00:00.000000001+02:00,841481.2,846525.4,5044.20000000007
ALDO2,0
RITOLI,mesg:
RITOLI,ttyname
RITOLI,failed:
RITOLI,Inappropriate
RITOLI,ioctl
RITOLI,for
RITOLI,device
RITOLI,Error:
RITOLI,No
RITOLI,such
RITOLI,container:
RITOLI,plc-datalog-influxDB-1
RITOLI,1
ALDO3,name,time,first,last,Total
ALDO3,plcData,2025-07-01T00:00:00.000000001+02:00,847272.8,852465.9,5193.099999999977
ALDO3,0
BICCARI,name,time,first,last,Total
BICCARI,plcData,2025-07-01T00:00:00.000000001+02:00,40260.2,50663.3,10403.100000000006
BICCARI,0
FALCONE,name,time,first,last,Total
FALCONE,plcData,2025-07-01T00:00:00.000000001+02:00,90603.9,101917.9,11314
FALCONE,0
ETAPOWER,mesg:
ETAPOWER,ttyname
ETAPOWER,failed:
ETAPOWER,Inappropriate
